rain,radarX,radarY,date,text,latlon,tiffile,labels
5435.0,325.0,459.0,20131013,De brandweer gaat met gepaste spoed naar #Dorpsstraat in #Barendrecht #wateroverlast [12:13] http://t.co/OrgE982gIb,"(51.8589499, 4.5314846)",ahn2_5_37hz2.tif,1
5364.0,325.0,460.0,20131013,RESPECT! voor alle medewerkers die zich vandaag hebben ingezet tijdens de wateroverlast. #meldkamer #vrr #Brandweer,"(51.85703786, 4.53076485)",ahn2_5_37hz2.tif,1
5465.0,326.0,455.0,20131013,ik kijk er al naar uit.straks gozer uitlaten. jippie. # wateroverlast,"(51.8987838, 4.542321)",ahn2_5_37hn2.tif,1
5377.0,326.0,459.0,20131013,De brandweer gaat met gepaste spoed naar #Notenhof 6 in #Barendrecht #wateroverlast [19:59] http://t.co/x5raVoNgm9,"(51.8579202, 4.5427471)",ahn2_5_37hz2.tif,1
3901.0,332.0,461.0,20131013,"Was je op 't Spui?
RT “@K_Ruiter: Zag vandaag een golf van kritiek door de straat gaan #wateroverlast @eriksass ”","(51.83528478, 4.62930019)",ahn2_5_38cz1.tif,1
3901.0,332.0,461.0,20131013,Wateroverlast telt niet voor niets 13 letters.... #spelenmettaal,"(51.83524125, 4.62938981)",ahn2_5_38cz1.tif,1
3901.0,332.0,461.0,20131013,"Gammel hekwerk, maar als je wat erover last is het weer stevig. #spelenmettaal #wateroverlast","(51.83525068, 4.62936504)",ahn2_5_38cz1.tif,1
5095.0,335.0,439.0,20131013,Ambachtstraat #Bergambacht wateroverlast. Brandweer onderweg.,"(52.02263998, 4.6934295)",ahn2_5_38an2.tif,1
5077.0,336.0,439.0,20131013,Op de Fazantendreef in #Moordrecht wordt een wateroverlast in huis gemeld. Brandweer onderweg.,"(52.02283282, 4.69828255)",ahn2_5_38an2.tif,1
4998.0,336.0,440.0,20131013,Ze zijn in me straat huizen aan t leeg pompen #wateroverlast,"(52.0135118, 4.7077603)",ahn2_5_38an2.tif,1
4972.0,336.0,441.0,20131013,Von Suttnerstraat #Gouda wateroverlast. Brandweer aanrijdend.,"(52.01054891, 4.70138705)",ahn2_5_38an2.tif,1
4961.0,337.0,440.0,20131013,Speldenmakerssteeg #Gouda wateroverlast. Brandweer onderweg.,"(52.01829877, 4.71638396)",ahn2_5_38an2.tif,1
4961.0,337.0,440.0,20131013,Sniepweg #Waddinxveen wateroverlast. Brandweer onderweg.,"(52.018285, 4.71692947)",ahn2_5_38an2.tif,1
4961.0,337.0,440.0,20131013,Snip #Gouderak wateroverlast op straat. Brandweer onderweg.,"(52.01832458, 4.71723889)",ahn2_5_38an2.tif,1
4961.0,337.0,440.0,20131013,Op de Beijerscheweg in #Stolwijk word een wateroverlast in huis gemeld. Brandweer onderweg.,"(52.01831275, 4.71711802)",ahn2_5_38an2.tif,1
4904.0,338.0,441.0,20131013,"Van Beverninghlaan #Gouda, wateroverlast in een schuur. Brandweer ter plaatse.","(52.00955709, 4.72557286)",ahn2_5_38an2.tif,1
4719.0,338.0,443.0,20131013,Achterwillenseweg #Gouda wateroverlast op straat. Brandweer onderweg.,"(51.98581817, 4.73305098)",ahn2_5_38bn1.tif,1
4719.0,338.0,443.0,20131013,Kerkweg #Berkenwoude wateroverlast. Brandweer onderweg.,"(51.98551839, 4.73345948)",ahn2_5_38bn1.tif,1
4719.0,338.0,443.0,20131013,13:05| Wateroverlast in de kazerne van brandweer Gouda aan de Keerkring in #Gouda,"(51.985398, 4.73331567)",ahn2_5_38bn1.tif,1
4719.0,338.0,443.0,20131013,11:31| Wateroverlast in huis aan de Hogedijk in #Bergambacht,"(51.98564395, 4.73312224)",ahn2_5_38bn1.tif,1
4719.0,338.0,443.0,20131013,"11:01| Gerstakker #Waddinxveen, wateroverlast op straat.","(51.98551331, 4.73345561)",ahn2_5_38bn1.tif,1
4719.0,338.0,443.0,20131013,"10:50| Wateroverlast op straat aan de Nieuwe Haven in #Gouda, er zijn zandzakken ingezet. Item volgt.","(51.98551336, 4.73345499)",ahn2_5_38bn1.tif,1
4685.0,338.0,448.0,20131013,Industrieweg #Stolwijk wateroverlast. Brandweer onderweg. http://t.co/yaJGQ8nUjV,"(51.94907439, 4.71791204)",ahn2_5_38az2.tif,1
3177.0,339.0,400.0,20131013,"HV 3 WATEROVERLAST , Langswater 734 AMSTERDAM [ ASO ] http://t.co/PK0kpFJSOD #p2000","(52.3556512, 4.7897786)",ahn2_5_25dn1.tif,1
